date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-04-30,20.3,13.8,26.8,,,165,21,,1005.9,
2018-05-01,17,9.8,21.8,,,,8,,1009.8,
2018-05-02,,,,,,,,,,
2018-05-03,,,,,,,,,,
2018-05-04,,,,,,,,,,
2018-05-05,18.8,14.8,23.8,,,279,15,,1017.7,
2018-05-06,,,,,,,,,,
2018-05-07,,,,,,,,,,
2018-05-08,17,10.8,24.8,,,,10,,1011.4,
2018-05-09,18.1,12.8,23.8,,,,8,,1007.7,
2018-05-10,19.2,14.8,23.8,,,112,11,,1009.4,
2018-05-11,18.6,14.8,23.8,,,,10,,1016.4,
2018-05-12,19,12.8,25.8,,,,6,,1015.2,
2018-05-13,19.2,13.8,24.8,,,74,13,,1011.4,
2018-05-14,16.3,11.8,19.8,,,94,11,,1011,
2018-05-15,12.1,10.8,13.8,,,143,11,,1010.3,
2018-05-16,15,10.2,20.2,,,263,16,,1011,
2018-05-17,15.2,13.2,17.2,,,274,24,,1013,
2018-05-18,,,,,,,,,,
2018-05-19,,,,,,,,,,
2018-05-20,17.3,11.8,22.8,,,,8,,1020,
2018-05-21,17.3,11.2,23.2,,,,7,,1018,
2018-05-22,,,,,,,,,,
2018-05-23,,,,,,,,,,
2018-05-24,,,,,,,,,,
2018-05-25,17.9,15.8,20.8,,,,7,,1017.8,
2018-05-26,,,,,,,,,,
2018-05-27,,,,,,,,,,
2018-05-28,,,,,,,,,,
2018-05-29,22.3,17.8,26.8,,,147,13,,1017.8,
2018-05-30,20.8,16.8,25.8,,,113,10,,1017,
2018-05-31,22.3,14.8,28.8,,,,10,,1015.5,
2018-06-01,22.7,15.8,28.8,,,215,10,,1015.6,
2018-06-02,23,18.8,26.8,,,284,14,,1016,
2018-06-03,22.8,18.8,26.8,,,234,13,,1015.3,
2018-06-04,23,16.8,27.8,,,,6,,1011,
2018-06-05,22.1,16.8,27.8,,,,7,,1008.3,
2018-06-06,20.6,16.8,26.8,,,,12,,1013.1,
2018-06-07,20.3,16.8,23.8,,,,10,,1016.8,
2018-06-08,22.2,16.8,27.8,,,,12,,1013.9,
2018-06-09,20.8,16.8,24.8,,,,10,,1012,
2018-06-10,23.7,15.8,29.8,,,,6,,1010.3,
2018-06-11,24.3,18.8,29.8,,,,7,,1009.4,
2018-06-12,22.9,19.8,27.8,,,,14,,1006.3,
2018-06-13,20.3,16.8,24.8,,,,14,,1005.2,
2018-06-14,17,14.8,18.8,,,328,21,,1011.1,
2018-06-15,19.5,15.8,23.8,,,320,20,,1013.3,
2018-06-16,22.1,17.8,27.8,,,224,10,,1013.2,
2018-06-17,23.6,16.8,27.8,,,288,11,,1013.4,
2018-06-18,22.6,18.8,26.8,,,326,20,,1016.3,
2018-06-19,23.6,18.8,27.8,,,318,19,,1020.3,
2018-06-20,24.7,18.8,29.8,,,,7,,1020.7,
2018-06-21,24.6,17.8,31.8,,,,13,,1013.2,
2018-06-22,15.9,12.8,19.8,,,323,19,,1017.5,
2018-06-23,15.2,11.8,18.8,,,302,22,,1020,
2018-06-24,16,12.8,18.8,,,,15,,1018.5,
2018-06-25,16.8,12.8,20.8,,,309,12,,1018.9,
2018-06-26,18.2,12.8,21.8,,,280,12,,1019.3,
2018-06-27,17.5,13.8,23.8,,,320,14,,1017.6,
2018-06-28,17.8,14.2,23.2,,,326,19,,1012,
2018-06-29,23.5,18.8,27.8,,,319,22,,1007.8,
2018-06-30,19.6,14.8,23.8,,,212,22,,1011.6,
2018-07-01,16.3,11.8,19.8,,,,14,,1016.8,
2018-07-02,16.9,8.8,22.8,,,,8,,1016.8,
2018-07-03,19.7,11.8,26.8,,,,6,,1016.2,
2018-07-04,22.2,13.8,28.8,,,,8,,1015,
2018-07-05,22.1,14.8,31.8,,,,10,,1012,
2018-07-06,21.7,17.8,24.8,,,293,17,,1012.2,
2018-07-07,21.3,17.8,25.8,,,320,19,,1016.5,
2018-07-08,22,17.8,25.8,,,284,15,,1016.7,
2018-07-09,23.1,15.8,27.8,,,310,15,,1015.6,
2018-07-10,21.5,17.8,26.8,,,,7,,1013.8,
