date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,,,,,,,,,,
2016-01-02,,,,,,,,,,
2016-01-03,-5.9,-6.2,-5.2,,,104,18,,1017.5,
2016-01-04,,,,,,,,,,
2016-01-05,,,,,,,,,,
2016-01-06,,,,,,,,,,
2016-01-07,,,,,,,,,,
2016-01-08,-2.8,-5.2,-1.2,,,,8,,1008.3,
2016-01-09,,,,,,,,,,
2016-01-10,,,,,,,,,,
2016-01-11,,,,,,,,,,
2016-01-12,,,,,,,,,,
2016-01-13,,,,,,,,,,
2016-01-14,,,,,,,,,,
2016-01-15,,,,,,,,,,
2016-01-16,,,,,,,,,,
2016-01-17,,,,,,,,,,
2016-01-18,,,,,,,,,,
2016-01-19,,,,,,,,,,
2016-01-20,,,,,,,,,,
2016-01-21,,,,,,,,,,
2016-01-22,,,,,,,,,,
2016-01-23,,,,,,,,,,
2016-01-24,,,,,,,,,,
2016-01-25,,,,,,,,,,
2016-01-26,,,,,,,,,,
2016-01-27,,,,,,,,,,
2016-01-28,,,,,,,,,,
2016-01-29,,,,,,,,,,
2016-01-30,,,,,,,,,,
2016-01-31,5.2,1.8,7.8,,,244,17,,1013.3,
2016-02-01,10.2,5.2,14.2,,,,18,,1016.7,
2016-02-02,9.3,4.8,12.8,,,,9,,1019.1,
2016-02-03,7.3,3.2,12.2,,,,21,,1016,
2016-02-04,,,,,,,,,,
2016-02-05,3.3,0.8,5.8,,,,10,,1025.6,
2016-02-06,,,,,,,,,,
2016-02-07,6.9,0.8,12.8,,,128,22,,1012.7,
2016-02-08,6.8,3.8,10.8,,,,10,,1011,
2016-02-09,10,5.2,12.2,,,,28,,1003.3,
2016-02-10,5.4,3.8,10.8,,,280,20,,994.1,
2016-02-11,4.7,1.8,7.8,,,257,21,,1005.4,
2016-02-12,,,,,,,,,,
2016-02-13,4,2.2,7.2,,,,12,,994.5,
2016-02-14,5.2,1.8,8.8,,,81,12,,994.2,
2016-02-15,7,5.8,7.8,,,309,15,,1006.9,
2016-02-16,5.5,3.8,6.8,,,,17,,1028.4,
2016-02-17,4.1,3.2,5.2,,,,20,,1022.4,
2016-02-18,6.6,4.8,8.8,,,,9,,1016.1,
2016-02-19,3.3,1.8,4.8,,,,20,,1015.8,
