date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,5.4,1.4,8.1,0,,252,24,,1024.3,
2019-01-02,2.7,-0.5,4.6,,,314,38,,1019.3,
2019-01-03,-1.1,-2.3,0.3,0,,316,33,,1028.1,
2019-01-04,-1.1,-2.7,0.7,0.2,,308,26,,1029.9,
2019-01-05,2.2,0.9,3.3,4.5,,289,34,,1018.8,
2019-01-06,1.7,0.8,2.8,0,,323,23,,1020.9,
2019-01-07,-1.5,-2.5,1,1.5,,142,12,,1029.6,
2019-01-08,-3.7,-4.2,-3.2,,,222,8,,1013.3,
2019-01-09,2.9,0.9,5,0,,284,26,,1004.9,
2019-01-10,1,0.3,2.4,0.3,,332,19,,1015.1,
2019-01-11,-0.2,-0.9,0.7,0,,301,29,,1021.4,
2019-01-12,3.5,0.4,5.6,0,,287,32,,1015.9,
2019-01-13,4.4,2.8,6.8,0.6,,244,19,,1004.3,
2019-01-14,4.5,-0.5,7.4,0.9,,308,35,,1001.3,
2019-01-15,3,-0.3,5.4,0.3,,289,38,,1014.5,
2019-01-16,4.8,0.8,7.8,0,,248,19,,1013,
2019-01-17,2.7,-2.2,9.5,0,,185,11,,1009.4,
2019-01-18,2.9,-2.8,7.3,0.2,,304,19,,1016.6,
2019-01-19,-2.9,-6.5,-0.7,0,,161,8,,1021.6,
2019-01-20,-0.9,-2.7,0.4,0,,171,8,,1018,
2019-01-21,-3.3,-6.5,-0.3,0,,186,9,,1022.4,
2019-01-22,-5.7,-7.2,-3.2,0,,145,8,,1014.3,
2019-01-23,-5,-8.2,-3.2,0.2,,51,11,,1002.9,
2019-01-24,-3,-3.4,-2,0,,328,18,,1008,
2019-01-25,-1.9,-4.6,0,,,323,26,,1014,
2019-01-26,1.6,-2.8,5.3,0.8,,294,24,,1010.2,
2019-01-27,0,-2.8,6,0,,158,12,,1001,
2019-01-28,1.8,-0.4,3.8,5.3,,263,16,,997.8,
2019-01-29,1.2,-6.2,3.8,0,,278,14,,1005.3,
2019-01-30,-0.9,-3.4,1.4,0,,124,16,,1003.3,
2019-01-31,-1.6,-3,-0.5,0,,132,14,,1003.9,
2019-02-01,2.1,-1.1,5.4,0,,132,26,,1000.3,
2019-02-02,5,2.8,9.8,0.4,,153,16,,999.4,
2019-02-03,5.1,0.8,7.8,0.9,,153,20,,1005.6,
2019-02-04,2.2,0.3,3.6,0,,308,22,,1028.8,
2019-02-05,-0.5,-4.4,3.7,0,,180,7,,1030.5,
2019-02-06,,,,,,,,,,
2019-02-07,-0.1,-6,5,0,,142,16,,1021.6,
2019-02-08,2.4,0.1,8.4,0,,115,8,,1022,
2019-02-09,2.5,0.5,7.5,0,,132,18,,1017.9,
2019-02-10,2.6,-1.1,8,0,,158,19,,1010.9,
2019-02-11,6,3.8,6.8,1.2,,291,29,,1007.8,
2019-02-12,3.2,1.8,5.8,,,310,34,,1023.8,
2019-02-13,4.2,0.8,7.8,,,288,18,,1033.8,
2019-02-14,6.7,2.8,9.8,0,,308,13,,1034.5,
2019-02-15,5.5,0.8,8.8,0,,251,12,,1033.5,
