Dátum;Èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.3.2016;0:00;0;0;0
1.3.2016;1:00;0;0;0
1.3.2016;2:00;0;0;0
1.3.2016;3:00;0;0;0
1.3.2016;4:00;0;0;0
1.3.2016;5:00;0;0;0
1.3.2016;6:00;0;0;0
1.3.2016;7:00;0;0;0
1.3.2016;8:00;0;0;0
1.3.2016;9:00;0;0;0
1.3.2016;10:00;0;0;0
1.3.2016;11:00;1;1;0
1.3.2016;12:00;0;0;0
1.3.2016;13:00;1;0;1
1.3.2016;14:00;0;0;0
1.3.2016;15:00;0;0;0
1.3.2016;16:00;0;0;0
1.3.2016;17:00;1;1;0
1.3.2016;18:00;0;0;0
1.3.2016;19:00;2;2;0
1.3.2016;20:00;0;0;0
1.3.2016;21:00;0;0;0
1.3.2016;22:00;0;0;0
1.3.2016;23:00;0;0;0
2.3.2016;0:00;0;0;0
2.3.2016;1:00;0;0;0
2.3.2016;2:00;0;0;0
2.3.2016;3:00;0;0;0
2.3.2016;4:00;0;0;0
2.3.2016;5:00;1;1;0
2.3.2016;6:00;2;1;1
2.3.2016;7:00;3;2;1
2.3.2016;8:00;7;6;1
2.3.2016;9:00;6;3;3
2.3.2016;10:00;8;3;5
2.3.2016;11:00;5;1;4
2.3.2016;12:00;8;3;5
2.3.2016;13:00;7;7;0
2.3.2016;14:00;7;3;4
2.3.2016;15:00;10;5;5
2.3.2016;16:00;9;5;4
2.3.2016;17:00;11;5;6
2.3.2016;18:00;4;2;2
2.3.2016;19:00;2;1;1
2.3.2016;20:00;2;1;1
2.3.2016;21:00;0;0;0
2.3.2016;22:00;0;0;0
2.3.2016;23:00;0;0;0
3.3.2016;0:00;0;0;0
3.3.2016;1:00;0;0;0
3.3.2016;2:00;0;0;0
3.3.2016;3:00;0;0;0
3.3.2016;4:00;0;0;0
3.3.2016;5:00;0;0;0
3.3.2016;6:00;0;0;0
3.3.2016;7:00;1;1;0
3.3.2016;8:00;0;0;0
3.3.2016;9:00;0;0;0
