Dátum;Èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.5.2016;0:00;0;0;0
1.5.2016;1:00;0;0;0
1.5.2016;2:00;0;0;0
1.5.2016;3:00;0;0;0
1.5.2016;4:00;0;0;0
1.5.2016;5:00;0;0;0
1.5.2016;6:00;1;0;1
1.5.2016;7:00;7;3;4
1.5.2016;8:00;8;4;4
1.5.2016;9:00;22;4;18
1.5.2016;10:00;49;19;30
1.5.2016;11:00;55;17;38
1.5.2016;12:00;53;23;30
1.5.2016;13:00;62;33;29
1.5.2016;14:00;44;26;18
1.5.2016;15:00;61;26;35
1.5.2016;16:00;98;64;34
1.5.2016;17:00;58;39;19
1.5.2016;18:00;35;26;9
1.5.2016;19:00;19;11;8
1.5.2016;20:00;6;6;0
1.5.2016;21:00;0;0;0
1.5.2016;22:00;0;0;0
1.5.2016;23:00;0;0;0
2.5.2016;0:00;0;0;0
2.5.2016;1:00;0;0;0
2.5.2016;2:00;0;0;0
2.5.2016;3:00;0;0;0
2.5.2016;4:00;0;0;0
2.5.2016;5:00;0;0;0
2.5.2016;6:00;1;0;1
2.5.2016;7:00;5;3;2
2.5.2016;8:00;2;1;1
2.5.2016;9:00;2;2;0
2.5.2016;10:00;56;9;47
2.5.2016;11:00;10;5;5
2.5.2016;12:00;14;7;7
2.5.2016;13:00;14;10;4
2.5.2016;14:00;16;12;4
2.5.2016;15:00;6;5;1
2.5.2016;16:00;10;3;7
2.5.2016;17:00;9;4;5
2.5.2016;18:00;9;5;4
2.5.2016;19:00;2;0;2
2.5.2016;20:00;2;1;1
2.5.2016;21:00;2;1;1
2.5.2016;22:00;0;0;0
2.5.2016;23:00;0;0;0
3.5.2016;0:00;0;0;0
3.5.2016;1:00;0;0;0
3.5.2016;2:00;0;0;0
3.5.2016;3:00;0;0;0
3.5.2016;4:00;0;0;0
3.5.2016;5:00;0;0;0
3.5.2016;6:00;1;1;0
3.5.2016;7:00;8;4;4
3.5.2016;8:00;5;4;1
3.5.2016;9:00;10;2;8
3.5.2016;10:00;33;16;17
3.5.2016;11:00;17;16;1
3.5.2016;12:00;11;4;7
3.5.2016;13:00;22;18;4
3.5.2016;14:00;67;63;4
3.5.2016;15:00;11;4;7
3.5.2016;16:00;29;15;14
3.5.2016;17:00;44;19;25
3.5.2016;18:00;31;21;10
3.5.2016;19:00;28;24;4
3.5.2016;20:00;3;2;1
3.5.2016;21:00;5;2;3
3.5.2016;22:00;0;0;0
3.5.2016;23:00;0;0;0
4.5.2016;0:00;0;0;0
4.5.2016;1:00;0;0;0
4.5.2016;2:00;0;0;0
4.5.2016;3:00;0;0;0
4.5.2016;4:00;0;0;0
4.5.2016;5:00;2;2;0
4.5.2016;6:00;5;1;4
4.5.2016;7:00;3;3;0
4.5.2016;8:00;1;0;1
4.5.2016;9:00;2;1;1
4.5.2016;10:00;13;0;13
4.5.2016;11:00;0;0;0
4.5.2016;12:00;2;1;1
4.5.2016;13:00;5;4;1
4.5.2016;14:00;2;0;2
4.5.2016;15:00;7;4;3
4.5.2016;16:00;9;6;3
4.5.2016;17:00;5;1;4
4.5.2016;18:00;5;2;3
4.5.2016;19:00;6;3;3
4.5.2016;20:00;0;0;0
4.5.2016;21:00;1;1;0
4.5.2016;22:00;0;0;0
4.5.2016;23:00;0;0;0
5.5.2016;0:00;0;0;0
5.5.2016;1:00;0;0;0
5.5.2016;2:00;0;0;0
5.5.2016;3:00;0;0;0
5.5.2016;4:00;0;0;0
5.5.2016;5:00;2;2;0
5.5.2016;6:00;1;1;0
5.5.2016;7:00;8;5;3
5.5.2016;8:00;8;4;4
5.5.2016;9:00;9;4;5
5.5.2016;10:00;12;5;7
5.5.2016;11:00;26;14;12
5.5.2016;12:00;22;14;8
5.5.2016;13:00;23;14;9
5.5.2016;14:00;26;16;10
5.5.2016;15:00;57;23;34
5.5.2016;16:00;47;17;30
5.5.2016;17:00;85;39;46
5.5.2016;18:00;68;42;26
5.5.2016;19:00;38;32;6
5.5.2016;20:00;6;5;1
5.5.2016;21:00;1;1;0
5.5.2016;22:00;1;1;0
5.5.2016;23:00;0;0;0
6.5.2016;0:00;0;0;0
6.5.2016;1:00;0;0;0
6.5.2016;2:00;1;0;1
6.5.2016;3:00;0;0;0
6.5.2016;4:00;0;0;0
6.5.2016;5:00;2;1;1
6.5.2016;6:00;5;2;3
6.5.2016;7:00;5;4;1
6.5.2016;8:00;13;10;3
6.5.2016;9:00;31;6;25
6.5.2016;10:00;36;10;26
6.5.2016;11:00;53;32;21
6.5.2016;12:00;55;27;28
6.5.2016;13:00;56;22;34
6.5.2016;14:00;95;48;47
6.5.2016;15:00;92;41;51
6.5.2016;16:00;119;51;68
6.5.2016;17:00;105;46;59
6.5.2016;18:00;94;60;34
6.5.2016;19:00;38;30;8
6.5.2016;20:00;28;28;0
6.5.2016;21:00;3;2;1
6.5.2016;22:00;1;1;0
6.5.2016;23:00;1;0;1
7.5.2016;0:00;0;0;0
7.5.2016;1:00;1;0;1
7.5.2016;2:00;0;0;0
7.5.2016;3:00;0;0;0
7.5.2016;4:00;0;0;0
7.5.2016;5:00;0;0;0
7.5.2016;6:00;2;1;1
7.5.2016;7:00;10;3;7
7.5.2016;8:00;28;6;22
7.5.2016;9:00;72;11;61
7.5.2016;10:00;129;33;96
7.5.2016;11:00;301;64;237
7.5.2016;12:00;239;164;75
7.5.2016;13:00;112;66;46
7.5.2016;14:00;196;94;102
7.5.2016;15:00;246;90;156
7.5.2016;16:00;273;203;70
7.5.2016;17:00;212;158;54
7.5.2016;18:00;119;94;25
7.5.2016;19:00;46;34;12
7.5.2016;20:00;12;7;5
7.5.2016;21:00;5;2;3
7.5.2016;22:00;2;1;1
7.5.2016;23:00;1;0;1
8.5.2016;0:00;0;0;0
8.5.2016;1:00;0;0;0
8.5.2016;2:00;0;0;0
8.5.2016;3:00;0;0;0
8.5.2016;4:00;0;0;0
8.5.2016;5:00;0;0;0
8.5.2016;6:00;1;0;1
8.5.2016;7:00;7;4;3
8.5.2016;8:00;20;11;9
8.5.2016;9:00;77;10;67
8.5.2016;10:00;125;35;90
8.5.2016;11:00;150;43;107
8.5.2016;12:00;140;54;86
8.5.2016;13:00;139;69;70
8.5.2016;14:00;236;124;112
8.5.2016;15:00;190;104;86
8.5.2016;16:00;203;127;76
8.5.2016;17:00;144;104;40
8.5.2016;18:00;96;80;16
8.5.2016;19:00;39;25;14
8.5.2016;20:00;11;10;1
8.5.2016;21:00;2;2;0
8.5.2016;22:00;1;0;1
8.5.2016;23:00;0;0;0
9.5.2016;0:00;0;0;0
9.5.2016;1:00;0;0;0
9.5.2016;2:00;0;0;0
9.5.2016;3:00;0;0;0
9.5.2016;4:00;0;0;0
9.5.2016;5:00;1;1;0
9.5.2016;6:00;3;1;2
9.5.2016;7:00;8;4;4
9.5.2016;8:00;13;10;3
9.5.2016;9:00;11;6;5
9.5.2016;10:00;18;9;9
9.5.2016;11:00;23;11;12
9.5.2016;12:00;25;8;17
9.5.2016;13:00;32;20;12
9.5.2016;14:00;40;24;16
9.5.2016;15:00;54;15;39
9.5.2016;16:00;91;39;52
