Dátum a èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.8.2019 0:00;0;0;0
1.8.2019 1:00;2;2;0
1.8.2019 2:00;1;0;1
1.8.2019 3:00;0;0;0
1.8.2019 4:00;1;0;1
1.8.2019 5:00;17;2;15
1.8.2019 6:00;24;16;8
1.8.2019 7:00;20;15;5
1.8.2019 8:00;36;19;17
1.8.2019 9:00;42;11;31
1.8.2019 10:00;54;19;35
1.8.2019 11:00;47;27;20
1.8.2019 12:00;44;25;19
1.8.2019 13:00;65;44;21
1.8.2019 14:00;44;19;25
1.8.2019 15:00;83;49;34
1.8.2019 16:00;104;42;62
1.8.2019 17:00;98;35;63
1.8.2019 18:00;143;74;69
1.8.2019 19:00;124;72;52
1.8.2019 20:00;65;55;10
1.8.2019 21:00;8;7;1
1.8.2019 22:00;5;3;2
1.8.2019 23:00;2;1;1
2.8.2019 0:00;0;0;0
2.8.2019 1:00;0;0;0
2.8.2019 2:00;1;0;1
2.8.2019 3:00;0;0;0
2.8.2019 4:00;0;0;0
2.8.2019 5:00;4;0;4
2.8.2019 6:00;19;4;15
2.8.2019 7:00;17;13;4
2.8.2019 8:00;31;19;12
2.8.2019 9:00;112;16;96
2.8.2019 10:00;51;30;21
2.8.2019 11:00;31;17;14
2.8.2019 12:00;21;7;14
2.8.2019 13:00;41;23;18
2.8.2019 14:00;47;34;13
2.8.2019 15:00;109;80;29
2.8.2019 16:00;69;35;34
2.8.2019 17:00;91;65;26
2.8.2019 18:00;58;32;26
2.8.2019 19:00;41;20;21
2.8.2019 20:00;25;21;4
2.8.2019 21:00;1;1;0
2.8.2019 22:00;8;8;0
2.8.2019 23:00;2;1;1
3.8.2019 0:00;0;0;0
3.8.2019 1:00;0;0;0
3.8.2019 2:00;0;0;0
3.8.2019 3:00;2;1;1
3.8.2019 4:00;2;0;2
3.8.2019 5:00;3;0;3
3.8.2019 6:00;10;3;7
3.8.2019 7:00;11;4;7
3.8.2019 8:00;50;10;40
3.8.2019 9:00;71;24;47
3.8.2019 10:00;127;32;95
3.8.2019 11:00;75;40;35
3.8.2019 12:00;64;46;18
3.8.2019 13:00;88;51;37
3.8.2019 14:00;149;82;67
3.8.2019 15:00;156;109;47
3.8.2019 16:00;115;91;24
3.8.2019 17:00;66;43;23
3.8.2019 18:00;33;32;1
3.8.2019 19:00;6;5;1
3.8.2019 20:00;8;6;2
3.8.2019 21:00;1;1;0
3.8.2019 22:00;0;0;0
3.8.2019 23:00;0;0;0
4.8.2019 0:00;0;0;0
4.8.2019 1:00;0;0;0
4.8.2019 2:00;0;0;0
4.8.2019 3:00;0;0;0
4.8.2019 4:00;0;0;0
4.8.2019 5:00;0;0;0
4.8.2019 6:00;9;2;7
4.8.2019 7:00;16;4;12
4.8.2019 8:00;30;8;22
4.8.2019 9:00;103;28;75
4.8.2019 10:00;148;67;81
4.8.2019 11:00;223;97;126
4.8.2019 12:00;144;73;71
4.8.2019 13:00;170;85;85
4.8.2019 14:00;183;104;79
4.8.2019 15:00;199;114;85
4.8.2019 16:00;197;137;60
4.8.2019 17:00;188;118;70
4.8.2019 18:00;157;114;43
4.8.2019 19:00;102;64;38
4.8.2019 20:00;42;36;6
4.8.2019 21:00;9;4;5
4.8.2019 22:00;1;1;0
