Dátum;Èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.6.2016;0:00;0;0;0
1.6.2016;1:00;0;0;0
1.6.2016;2:00;0;0;0
1.6.2016;3:00;0;0;0
1.6.2016;4:00;0;0;0
1.6.2016;5:00;1;1;0
1.6.2016;6:00;11;8;3
1.6.2016;7:00;10;6;4
1.6.2016;8:00;17;10;7
1.6.2016;9:00;16;3;13
1.6.2016;10:00;23;10;13
1.6.2016;11:00;24;17;7
1.6.2016;12:00;28;17;11
1.6.2016;13:00;38;22;16
1.6.2016;14:00;36;13;23
1.6.2016;15:00;41;28;13
1.6.2016;16:00;10;8;2
1.6.2016;17:00;17;11;6
1.6.2016;18:00;9;3;6
1.6.2016;19:00;20;10;10
1.6.2016;20:00;6;4;2
1.6.2016;21:00;1;1;0
1.6.2016;22:00;0;0;0
1.6.2016;23:00;0;0;0
2.6.2016;0:00;1;0;1
2.6.2016;1:00;0;0;0
2.6.2016;2:00;0;0;0
2.6.2016;3:00;0;0;0
2.6.2016;4:00;0;0;0
2.6.2016;5:00;1;1;0
2.6.2016;6:00;3;2;1
2.6.2016;7:00;5;3;2
2.6.2016;8:00;13;5;8
2.6.2016;9:00;16;9;7
2.6.2016;10:00;30;7;23
2.6.2016;11:00;33;18;15
2.6.2016;12:00;21;13;8
2.6.2016;13:00;24;14;10
2.6.2016;14:00;36;20;16
2.6.2016;15:00;42;18;24
2.6.2016;16:00;48;28;20
2.6.2016;17:00;15;13;2
2.6.2016;18:00;17;15;2
2.6.2016;19:00;11;5;6
2.6.2016;20:00;3;1;2
2.6.2016;21:00;3;2;1
2.6.2016;22:00;0;0;0
2.6.2016;23:00;0;0;0
3.6.2016;0:00;0;0;0
3.6.2016;1:00;0;0;0
3.6.2016;2:00;0;0;0
3.6.2016;3:00;0;0;0
3.6.2016;4:00;0;0;0
3.6.2016;5:00;0;0;0
3.6.2016;6:00;4;3;1
3.6.2016;7:00;1;1;0
3.6.2016;8:00;6;4;2
3.6.2016;9:00;9;6;3
3.6.2016;10:00;11;4;7
3.6.2016;11:00;27;14;13
3.6.2016;12:00;16;7;9
3.6.2016;13:00;14;6;8
3.6.2016;14:00;42;22;20
3.6.2016;15:00;39;21;18
3.6.2016;16:00;62;32;30
3.6.2016;17:00;70;30;40
3.6.2016;18:00;85;47;38
3.6.2016;19:00;75;42;33
3.6.2016;20:00;31;25;6
3.6.2016;21:00;7;4;3
3.6.2016;22:00;2;0;2
3.6.2016;23:00;1;1;0
4.6.2016;0:00;0;0;0
4.6.2016;1:00;1;1;0
4.6.2016;2:00;1;0;1
4.6.2016;3:00;0;0;0
4.6.2016;4:00;0;0;0
4.6.2016;5:00;3;1;2
4.6.2016;6:00;9;2;7
4.6.2016;7:00;14;6;8
4.6.2016;8:00;44;14;30
4.6.2016;9:00;68;10;58
4.6.2016;10:00;139;45;94
4.6.2016;11:00;153;55;98
4.6.2016;12:00;132;55;77
4.6.2016;13:00;124;83;41
4.6.2016;14:00;131;82;49
4.6.2016;15:00;161;64;97
4.6.2016;16:00;111;83;28
4.6.2016;17:00;95;78;17
4.6.2016;18:00;50;45;5
4.6.2016;19:00;20;19;1
4.6.2016;20:00;15;14;1
4.6.2016;21:00;8;6;2
4.6.2016;22:00;2;0;2
4.6.2016;23:00;0;0;0
5.6.2016;0:00;0;0;0
5.6.2016;1:00;0;0;0
5.6.2016;2:00;0;0;0
5.6.2016;3:00;0;0;0
5.6.2016;4:00;0;0;0
5.6.2016;5:00;0;0;0
5.6.2016;6:00;10;4;6
5.6.2016;7:00;12;0;12
5.6.2016;8:00;17;10;7
5.6.2016;9:00;47;19;28
5.6.2016;10:00;75;24;51
5.6.2016;11:00;88;43;45
5.6.2016;12:00;53;38;15
5.6.2016;13:00;83;50;33
5.6.2016;14:00;88;52;36
5.6.2016;15:00;80;52;28
5.6.2016;16:00;50;45;5
5.6.2016;17:00;32;22;10
5.6.2016;18:00;25;19;6
5.6.2016;19:00;8;5;3
5.6.2016;20:00;3;2;1
5.6.2016;21:00;2;2;0
5.6.2016;22:00;0;0;0
5.6.2016;23:00;0;0;0
6.6.2016;0:00;0;0;0
6.6.2016;1:00;0;0;0
6.6.2016;2:00;0;0;0
6.6.2016;3:00;0;0;0
6.6.2016;4:00;0;0;0
6.6.2016;5:00;3;1;2
6.6.2016;6:00;5;2;3
6.6.2016;7:00;11;7;4
6.6.2016;8:00;11;8;3
6.6.2016;9:00;43;12;31
6.6.2016;10:00;29;15;14
6.6.2016;11:00;48;28;20
6.6.2016;12:00;34;19;15
6.6.2016;13:00;64;42;22
6.6.2016;14:00;48;30;18
6.6.2016;15:00;74;45;29
6.6.2016;16:00;66;32;34
6.6.2016;17:00;101;51;50
6.6.2016;18:00;105;39;66
6.6.2016;19:00;113;71;42
6.6.2016;20:00;50;36;14
6.6.2016;21:00;8;7;1
6.6.2016;22:00;1;0;1
6.6.2016;23:00;0;0;0
7.6.2016;0:00;1;1;0
7.6.2016;1:00;0;0;0
7.6.2016;2:00;0;0;0
7.6.2016;3:00;0;0;0
7.6.2016;4:00;0;0;0
7.6.2016;5:00;3;2;1
7.6.2016;6:00;10;2;8
7.6.2016;7:00;11;7;4
7.6.2016;8:00;26;24;2
7.6.2016;9:00;25;11;14
7.6.2016;10:00;59;27;32
7.6.2016;11:00;46;28;18
7.6.2016;12:00;45;24;21
7.6.2016;13:00;96;64;32
7.6.2016;14:00;69;50;19
7.6.2016;15:00;57;20;37
7.6.2016;16:00;90;34;56
7.6.2016;17:00;149;47;102
7.6.2016;18:00;153;85;68
7.6.2016;19:00;156;119;37
7.6.2016;20:00;46;34;12
7.6.2016;21:00;18;14;4
7.6.2016;22:00;1;1;0
7.6.2016;23:00;0;0;0
8.6.2016;0:00;0;0;0
8.6.2016;1:00;0;0;0
8.6.2016;2:00;0;0;0
8.6.2016;3:00;0;0;0
8.6.2016;4:00;0;0;0
8.6.2016;5:00;5;3;2
8.6.2016;6:00;8;1;7
8.6.2016;7:00;17;10;7
8.6.2016;8:00;21;9;12
8.6.2016;9:00;29;11;18
8.6.2016;10:00;36;15;21
8.6.2016;11:00;32;16;16
8.6.2016;12:00;24;15;9
8.6.2016;13:00;39;13;26
8.6.2016;14:00;56;28;28
8.6.2016;15:00;89;43;46
8.6.2016;16:00;94;34;60
8.6.2016;17:00;118;39;79
8.6.2016;18:00;128;59;69
8.6.2016;19:00;136;103;33
8.6.2016;20:00;46;33;13
8.6.2016;21:00;7;5;2
8.6.2016;22:00;1;1;0
8.6.2016;23:00;0;0;0
9.6.2016;0:00;0;0;0
9.6.2016;1:00;0;0;0
9.6.2016;2:00;0;0;0
9.6.2016;3:00;0;0;0
9.6.2016;4:00;0;0;0
9.6.2016;5:00;2;1;1
9.6.2016;6:00;6;1;5
9.6.2016;7:00;6;4;2
9.6.2016;8:00;12;5;7
9.6.2016;9:00;19;9;10
9.6.2016;10:00;35;16;19
9.6.2016;11:00;24;8;16
9.6.2016;12:00;24;18;6
9.6.2016;13:00;30;18;12
9.6.2016;14:00;48;33;15
9.6.2016;15:00;29;14;15
9.6.2016;16:00;22;8;14
9.6.2016;17:00;13;8;5
9.6.2016;18:00;9;6;3
9.6.2016;19:00;10;3;7
9.6.2016;20:00;11;7;4
9.6.2016;21:00;3;3;0
9.6.2016;22:00;0;0;0
9.6.2016;23:00;0;0;0
10.6.2016;0:00;0;0;0
10.6.2016;1:00;0;0;0
10.6.2016;2:00;0;0;0
10.6.2016;3:00;0;0;0
10.6.2016;4:00;0;0;0
10.6.2016;5:00;1;0;1
10.6.2016;6:00;3;2;1
10.6.2016;7:00;4;1;3
10.6.2016;8:00;15;3;12
10.6.2016;9:00;12;8;4
10.6.2016;10:00;13;5;8
10.6.2016;11:00;23;17;6
10.6.2016;12:00;17;14;3
10.6.2016;13:00;24;9;15
10.6.2016;14:00;50;32;18
10.6.2016;15:00;79;36;43
10.6.2016;16:00;62;33;29
10.6.2016;17:00;69;32;37
10.6.2016;18:00;90;51;39
10.6.2016;19:00;75;41;34
10.6.2016;20:00;32;24;8
10.6.2016;21:00;10;8;2
10.6.2016;22:00;3;1;2
10.6.2016;23:00;0;0;0
11.6.2016;0:00;2;2;0
11.6.2016;1:00;0;0;0
11.6.2016;2:00;0;0;0
11.6.2016;3:00;0;0;0
11.6.2016;4:00;4;4;0
11.6.2016;5:00;3;1;2
11.6.2016;6:00;3;0;3
11.6.2016;7:00;24;6;18
11.6.2016;8:00;33;8;25
11.6.2016;9:00;77;25;52
11.6.2016;10:00;121;24;97
11.6.2016;11:00;120;52;68
11.6.2016;12:00;110;38;72
11.6.2016;13:00;143;80;63
11.6.2016;14:00;119;83;36
11.6.2016;15:00;101;76;25
11.6.2016;16:00;105;72;33
11.6.2016;17:00;86;65;21
11.6.2016;18:00;45;26;19
11.6.2016;19:00;22;18;4
11.6.2016;20:00;9;9;0
11.6.2016;21:00;6;4;2
11.6.2016;22:00;2;2;0
11.6.2016;23:00;0;0;0
12.6.2016;0:00;0;0;0
12.6.2016;1:00;0;0;0
12.6.2016;2:00;0;0;0
12.6.2016;3:00;0;0;0
12.6.2016;4:00;0;0;0
12.6.2016;5:00;0;0;0
12.6.2016;6:00;3;2;1
12.6.2016;7:00;3;0;3
12.6.2016;8:00;30;6;24
12.6.2016;9:00;46;16;30
12.6.2016;10:00;69;31;38
12.6.2016;11:00;91;51;40
12.6.2016;12:00;72;28;44
12.6.2016;13:00;106;51;55
12.6.2016;14:00;129;65;64
12.6.2016;15:00;99;68;31
12.6.2016;16:00;84;61;23
12.6.2016;17:00;111;79;32
12.6.2016;18:00;81;44;37
12.6.2016;19:00;55;39;16
12.6.2016;20:00;14;12;2
12.6.2016;21:00;4;3;1
12.6.2016;22:00;3;2;1
12.6.2016;23:00;0;0;0
13.6.2016;0:00;1;1;0
13.6.2016;1:00;0;0;0
13.6.2016;2:00;0;0;0
13.6.2016;3:00;2;2;0
13.6.2016;4:00;0;0;0
13.6.2016;5:00;2;2;0
13.6.2016;6:00;2;1;1
13.6.2016;7:00;4;2;2
13.6.2016;8:00;14;7;7
13.6.2016;9:00;54;6;48
13.6.2016;10:00;25;20;5
13.6.2016;11:00;19;14;5
13.6.2016;12:00;13;7;6
13.6.2016;13:00;41;38;3
13.6.2016;14:00;64;52;12
13.6.2016;15:00;42;27;15
13.6.2016;16:00;54;26;28
13.6.2016;17:00;67;26;41
13.6.2016;18:00;79;44;35
13.6.2016;19:00;70;46;24
13.6.2016;20:00;36;24;12
13.6.2016;21:00;9;6;3
13.6.2016;22:00;1;1;0
13.6.2016;23:00;0;0;0
14.6.2016;0:00;0;0;0
14.6.2016;1:00;0;0;0
14.6.2016;2:00;0;0;0
14.6.2016;3:00;0;0;0
14.6.2016;4:00;0;0;0
14.6.2016;5:00;2;1;1
14.6.2016;6:00;5;2;3
14.6.2016;7:00;10;6;4
14.6.2016;8:00;10;5;5
14.6.2016;9:00;36;15;21
14.6.2016;10:00;47;25;22
14.6.2016;11:00;31;13;18
14.6.2016;12:00;40;27;13
14.6.2016;13:00;56;40;16
14.6.2016;14:00;65;46;19
14.6.2016;15:00;73;49;24
14.6.2016;16:00;101;52;49
14.6.2016;17:00;83;22;61
14.6.2016;18:00;109;74;35
14.6.2016;19:00;101;75;26
14.6.2016;20:00;37;27;10
14.6.2016;21:00;13;10;3
14.6.2016;22:00;0;0;0
14.6.2016;23:00;1;0;1
15.6.2016;0:00;0;0;0
15.6.2016;1:00;0;0;0
15.6.2016;2:00;0;0;0
15.6.2016;3:00;0;0;0
15.6.2016;4:00;0;0;0
15.6.2016;5:00;4;2;2
15.6.2016;6:00;5;2;3
15.6.2016;7:00;5;4;1
15.6.2016;8:00;3;2;1
15.6.2016;9:00;7;3;4
15.6.2016;10:00;6;5;1
15.6.2016;11:00;4;3;1
15.6.2016;12:00;5;0;5
15.6.2016;13:00;3;2;1
15.6.2016;14:00;13;7;6
15.6.2016;15:00;20;19;1
15.6.2016;16:00;35;17;18
15.6.2016;17:00;35;14;21
15.6.2016;18:00;67;23;44
15.6.2016;19:00;72;47;25
15.6.2016;20:00;32;24;8
15.6.2016;21:00;6;5;1
15.6.2016;22:00;0;0;0
15.6.2016;23:00;0;0;0
16.6.2016;0:00;0;0;0
16.6.2016;1:00;0;0;0
16.6.2016;2:00;0;0;0
16.6.2016;3:00;0;0;0
16.6.2016;4:00;0;0;0
16.6.2016;5:00;1;1;0
16.6.2016;6:00;3;2;1
16.6.2016;7:00;6;3;3
16.6.2016;8:00;13;7;6
16.6.2016;9:00;13;5;8
16.6.2016;10:00;35;12;23
16.6.2016;11:00;34;14;20
16.6.2016;12:00;41;18;23
