Dátum a èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.6.2017 0:00;0;0;0
1.6.2017 1:00;0;0;0
1.6.2017 2:00;0;0;0
1.6.2017 3:00;1;1;0
1.6.2017 4:00;0;0;0
1.6.2017 5:00;2;1;1
1.6.2017 6:00;5;1;4
1.6.2017 7:00;9;3;6
1.6.2017 8:00;12;4;8
1.6.2017 9:00;38;12;26
1.6.2017 10:00;46;23;23
1.6.2017 11:00;33;19;14
1.6.2017 12:00;24;19;5
1.6.2017 13:00;40;25;15
1.6.2017 14:00;56;39;17
1.6.2017 15:00;38;15;23
1.6.2017 16:00;70;29;41
1.6.2017 17:00;90;41;49
1.6.2017 18:00;119;66;53
1.6.2017 19:00;81;52;29
1.6.2017 20:00;43;31;12
1.6.2017 21:00;6;6;0
1.6.2017 22:00;2;0;2
1.6.2017 23:00;3;3;0
2.6.2017 0:00;0;0;0
2.6.2017 1:00;0;0;0
2.6.2017 2:00;0;0;0
2.6.2017 3:00;0;0;0
2.6.2017 4:00;1;1;0
2.6.2017 5:00;3;1;2
2.6.2017 6:00;3;1;2
2.6.2017 7:00;8;5;3
2.6.2017 8:00;26;16;10
2.6.2017 9:00;28;9;19
2.6.2017 10:00;32;8;24
2.6.2017 11:00;43;23;20
2.6.2017 12:00;27;16;11
2.6.2017 13:00;37;19;18
2.6.2017 14:00;47;33;14
2.6.2017 15:00;72;32;40
2.6.2017 16:00;102;56;46
2.6.2017 17:00;80;46;34
2.6.2017 18:00;76;38;38
2.6.2017 19:00;68;46;22
2.6.2017 20:00;30;21;9
2.6.2017 21:00;5;4;1
2.6.2017 22:00;4;4;0
2.6.2017 23:00;0;0;0
3.6.2017 0:00;3;2;1
3.6.2017 1:00;0;0;0
3.6.2017 2:00;0;0;0
3.6.2017 3:00;0;0;0
3.6.2017 4:00;0;0;0
3.6.2017 5:00;4;3;1
3.6.2017 6:00;9;3;6
3.6.2017 7:00;25;10;15
3.6.2017 8:00;43;15;28
3.6.2017 9:00;98;25;73
3.6.2017 10:00;177;35;142
3.6.2017 11:00;109;44;65
3.6.2017 12:00;95;49;46
3.6.2017 13:00;116;66;50
3.6.2017 14:00;160;92;68
3.6.2017 15:00;182;111;71
3.6.2017 16:00;195;125;70
3.6.2017 17:00;154;94;60
3.6.2017 18:00;122;89;33
3.6.2017 19:00;90;70;20
3.6.2017 20:00;71;62;9
3.6.2017 21:00;7;6;1
3.6.2017 22:00;0;0;0
3.6.2017 23:00;2;1;1
4.6.2017 0:00;0;0;0
4.6.2017 1:00;0;0;0
4.6.2017 2:00;0;0;0
4.6.2017 3:00;0;0;0
4.6.2017 4:00;0;0;0
4.6.2017 5:00;2;1;1
4.6.2017 6:00;10;2;8
4.6.2017 7:00;22;3;19
4.6.2017 8:00;36;13;23
4.6.2017 9:00;86;31;55
4.6.2017 10:00;132;45;87
4.6.2017 11:00;138;87;51
4.6.2017 12:00;108;68;40
4.6.2017 13:00;41;28;13
4.6.2017 14:00;78;67;11
4.6.2017 15:00;59;49;10
4.6.2017 16:00;32;30;2
4.6.2017 17:00;29;25;4
4.6.2017 18:00;19;17;2
4.6.2017 19:00;4;4;0
4.6.2017 20:00;0;0;0
4.6.2017 21:00;1;0;1
4.6.2017 22:00;1;1;0
4.6.2017 23:00;0;0;0
5.6.2017 0:00;0;0;0
5.6.2017 1:00;0;0;0
5.6.2017 2:00;0;0;0
5.6.2017 3:00;0;0;0
5.6.2017 4:00;2;1;1
5.6.2017 5:00;3;1;2
5.6.2017 6:00;3;0;3
5.6.2017 7:00;9;8;1
5.6.2017 8:00;17;12;5
5.6.2017 9:00;50;11;39
5.6.2017 10:00;48;28;20
5.6.2017 11:00;59;38;21
5.6.2017 12:00;90;64;26
5.6.2017 13:00;77;60;17
5.6.2017 14:00;99;62;37
5.6.2017 15:00;91;45;46
5.6.2017 16:00;83;37;46
5.6.2017 17:00;86;36;50
5.6.2017 18:00;134;54;80
5.6.2017 19:00;95;59;36
5.6.2017 20:00;59;49;10
5.6.2017 21:00;9;6;3
5.6.2017 22:00;5;5;0
5.6.2017 23:00;1;1;0
6.6.2017 0:00;0;0;0
6.6.2017 1:00;0;0;0
6.6.2017 2:00;1;0;1
6.6.2017 3:00;0;0;0
6.6.2017 4:00;0;0;0
6.6.2017 5:00;3;2;1
6.6.2017 6:00;19;4;15
6.6.2017 7:00;13;7;6
6.6.2017 8:00;17;11;6
6.6.2017 9:00;34;14;20
6.6.2017 10:00;80;55;25
6.6.2017 11:00;42;19;23
6.6.2017 12:00;17;12;5
6.6.2017 13:00;65;47;18
6.6.2017 14:00;41;34;7
6.6.2017 15:00;64;53;11
6.6.2017 16:00;44;19;25
6.6.2017 17:00;64;31;33
6.6.2017 18:00;73;45;28
6.6.2017 19:00;46;38;8
6.6.2017 20:00;9;5;4
6.6.2017 21:00;0;0;0
6.6.2017 22:00;0;0;0
6.6.2017 23:00;0;0;0
7.6.2017 0:00;0;0;0
7.6.2017 1:00;0;0;0
7.6.2017 2:00;0;0;0
7.6.2017 3:00;0;0;0
7.6.2017 4:00;1;0;1
7.6.2017 5:00;0;0;0
7.6.2017 6:00;10;4;6
7.6.2017 7:00;7;3;4
7.6.2017 8:00;10;7;3
7.6.2017 9:00;65;8;57
7.6.2017 10:00;30;14;16
7.6.2017 11:00;21;10;11
7.6.2017 12:00;22;15;7
7.6.2017 13:00;64;58;6
7.6.2017 14:00;32;16;16
7.6.2017 15:00;44;18;26
7.6.2017 16:00;69;29;40
7.6.2017 17:00;74;33;41
7.6.2017 18:00;54;28;26
7.6.2017 19:00;46;31;15
7.6.2017 20:00;12;11;1
7.6.2017 21:00;9;7;2
7.6.2017 22:00;1;1;0
7.6.2017 23:00;1;0;1
8.6.2017 0:00;0;0;0
8.6.2017 1:00;0;0;0
8.6.2017 2:00;0;0;0
8.6.2017 3:00;0;0;0
8.6.2017 4:00;0;0;0
8.6.2017 5:00;6;3;3
8.6.2017 6:00;3;0;3
8.6.2017 7:00;12;7;5
8.6.2017 8:00;13;7;6
8.6.2017 9:00;26;12;14
8.6.2017 10:00;25;13;12
8.6.2017 11:00;28;9;19
8.6.2017 12:00;76;57;19
8.6.2017 13:00;37;27;10
8.6.2017 14:00;40;25;15
8.6.2017 15:00;55;22;33
8.6.2017 16:00;108;42;66
8.6.2017 17:00;97;38;59
8.6.2017 18:00;126;48;78
8.6.2017 19:00;123;82;41
8.6.2017 20:00;57;48;9
8.6.2017 21:00;29;28;1
8.6.2017 22:00;1;1;0
8.6.2017 23:00;0;0;0
9.6.2017 0:00;0;0;0
9.6.2017 1:00;0;0;0
9.6.2017 2:00;0;0;0
9.6.2017 3:00;1;1;0
9.6.2017 4:00;0;0;0
9.6.2017 5:00;0;0;0
9.6.2017 6:00;10;4;6
9.6.2017 7:00;12;8;4
9.6.2017 8:00;16;8;8
9.6.2017 9:00;36;3;33
9.6.2017 10:00;32;15;17
9.6.2017 11:00;44;26;18
9.6.2017 12:00;34;17;17
9.6.2017 13:00;35;19;16
9.6.2017 14:00;49;25;24
9.6.2017 15:00;60;29;31
9.6.2017 16:00;57;20;37
9.6.2017 17:00;85;41;44
9.6.2017 18:00;103;53;50
9.6.2017 19:00;69;43;26
9.6.2017 20:00;46;34;12
9.6.2017 21:00;10;8;2
9.6.2017 22:00;1;0;1
9.6.2017 23:00;1;0;1
10.6.2017 0:00;6;5;1
10.6.2017 1:00;0;0;0
10.6.2017 2:00;0;0;0
10.6.2017 3:00;0;0;0
10.6.2017 4:00;0;0;0
10.6.2017 5:00;1;1;0
10.6.2017 6:00;3;0;3
10.6.2017 7:00;12;3;9
10.6.2017 8:00;5;2;3
10.6.2017 9:00;16;12;4
10.6.2017 10:00;17;5;12
10.6.2017 11:00;37;17;20
10.6.2017 12:00;35;16;19
10.6.2017 13:00;92;19;73
10.6.2017 14:00;72;26;46
10.6.2017 15:00;127;55;72
10.6.2017 16:00;118;71;47
10.6.2017 17:00;128;79;49
10.6.2017 18:00;110;77;33
10.6.2017 19:00;81;60;21
10.6.2017 20:00;28;25;3
10.6.2017 21:00;11;8;3
10.6.2017 22:00;2;2;0
10.6.2017 23:00;0;0;0
11.6.2017 0:00;0;0;0
11.6.2017 1:00;0;0;0
11.6.2017 2:00;0;0;0
11.6.2017 3:00;0;0;0
11.6.2017 4:00;0;0;0
11.6.2017 5:00;1;0;1
11.6.2017 6:00;5;1;4
11.6.2017 7:00;22;3;19
11.6.2017 8:00;47;6;41
11.6.2017 9:00;106;27;79
11.6.2017 10:00;180;77;103
11.6.2017 11:00;147;54;93
11.6.2017 12:00;148;91;57
11.6.2017 13:00;161;85;76
11.6.2017 14:00;188;81;107
11.6.2017 15:00;253;167;86
11.6.2017 16:00;176;106;70
11.6.2017 17:00;174;110;64
11.6.2017 18:00;124;88;36
11.6.2017 19:00;104;77;27
11.6.2017 20:00;47;38;9
11.6.2017 21:00;7;5;2
11.6.2017 22:00;0;0;0
11.6.2017 23:00;0;0;0
12.6.2017 0:00;0;0;0
12.6.2017 1:00;0;0;0
12.6.2017 2:00;0;0;0
12.6.2017 3:00;0;0;0
12.6.2017 4:00;1;0;1
12.6.2017 5:00;3;3;0
12.6.2017 6:00;4;3;1
12.6.2017 7:00;10;5;5
12.6.2017 8:00;7;4;3
12.6.2017 9:00;52;11;41
12.6.2017 10:00;68;15;53
12.6.2017 11:00;38;25;13
12.6.2017 12:00;29;20;9
12.6.2017 13:00;50;39;11
12.6.2017 14:00;30;18;12
12.6.2017 15:00;29;12;17
12.6.2017 16:00;49;24;25
12.6.2017 17:00;56;24;32
12.6.2017 18:00;65;34;31
12.6.2017 19:00;67;39;28
12.6.2017 20:00;37;30;7
12.6.2017 21:00;8;6;2
12.6.2017 22:00;2;1;1
12.6.2017 23:00;0;0;0
13.6.2017 0:00;0;0;0
13.6.2017 1:00;0;0;0
13.6.2017 2:00;0;0;0
13.6.2017 3:00;0;0;0
13.6.2017 4:00;1;1;0
13.6.2017 5:00;3;2;1
13.6.2017 6:00;10;1;9
13.6.2017 7:00;13;8;5
13.6.2017 8:00;20;12;8
13.6.2017 9:00;34;17;17
13.6.2017 10:00;31;15;16
13.6.2017 11:00;34;25;9
13.6.2017 12:00;53;36;17
13.6.2017 13:00;70;60;10
13.6.2017 14:00;58;41;17
13.6.2017 15:00;55;29;26
13.6.2017 16:00;75;31;44
13.6.2017 17:00;124;49;75
13.6.2017 18:00;134;73;61
13.6.2017 19:00;163;117;46
13.6.2017 20:00;92;64;28
13.6.2017 21:00;15;13;2
13.6.2017 22:00;1;0;1
13.6.2017 23:00;1;0;1
14.6.2017 0:00;0;0;0
14.6.2017 1:00;0;0;0
14.6.2017 2:00;0;0;0
14.6.2017 3:00;0;0;0
14.6.2017 4:00;0;0;0
14.6.2017 5:00;5;3;2
14.6.2017 6:00;8;3;5
14.6.2017 7:00;11;4;7
14.6.2017 8:00;12;6;6
14.6.2017 9:00;17;5;12
14.6.2017 10:00;32;17;15
14.6.2017 11:00;35;23;12
14.6.2017 12:00;27;11;16
14.6.2017 13:00;37;26;11
14.6.2017 14:00;28;11;17
14.6.2017 15:00;33;12;21
14.6.2017 16:00;67;33;34
14.6.2017 17:00;93;32;61
14.6.2017 18:00;124;59;65
14.6.2017 19:00;92;64;28
14.6.2017 20:00;67;54;13
14.6.2017 21:00;10;8;2
14.6.2017 22:00;3;2;1
14.6.2017 23:00;0;0;0
15.6.2017 0:00;0;0;0
15.6.2017 1:00;0;0;0
15.6.2017 2:00;0;0;0
15.6.2017 3:00;0;0;0
15.6.2017 4:00;0;0;0
15.6.2017 5:00;6;2;4
15.6.2017 6:00;16;5;11
15.6.2017 7:00;17;12;5
15.6.2017 8:00;19;14;5
15.6.2017 9:00;50;30;20
15.6.2017 10:00;58;25;33
15.6.2017 11:00;46;33;13
15.6.2017 12:00;54;36;18
15.6.2017 13:00;53;34;19
15.6.2017 14:00;85;55;30
15.6.2017 15:00;98;52;46
15.6.2017 16:00;144;54;90
15.6.2017 17:00;120;57;63
15.6.2017 18:00;120;57;63
15.6.2017 19:00;90;59;31
15.6.2017 20:00;74;52;22
15.6.2017 21:00;17;17;0
15.6.2017 22:00;1;0;1
15.6.2017 23:00;0;0;0
16.6.2017 0:00;0;0;0
16.6.2017 1:00;0;0;0
16.6.2017 2:00;0;0;0
16.6.2017 3:00;0;0;0
16.6.2017 4:00;0;0;0
16.6.2017 5:00;5;3;2
16.6.2017 6:00;1;0;1
16.6.2017 7:00;0;0;0
16.6.2017 8:00;4;2;2
16.6.2017 9:00;6;2;4
16.6.2017 10:00;20;3;17
16.6.2017 11:00;21;10;11
16.6.2017 12:00;17;12;5
16.6.2017 13:00;11;8;3
16.6.2017 14:00;32;16;16
16.6.2017 15:00;52;35;17
16.6.2017 16:00;31;15;16
16.6.2017 17:00;48;23;25
16.6.2017 18:00;53;23;30
16.6.2017 19:00;47;32;15
16.6.2017 20:00;12;8;4
16.6.2017 21:00;4;2;2
16.6.2017 22:00;3;3;0
16.6.2017 23:00;0;0;0
17.6.2017 0:00;0;0;0
17.6.2017 1:00;0;0;0
17.6.2017 2:00;0;0;0
17.6.2017 3:00;1;1;0
17.6.2017 4:00;0;0;0
17.6.2017 5:00;0;0;0
17.6.2017 6:00;6;2;4
17.6.2017 7:00;11;1;10
17.6.2017 8:00;23;12;11
17.6.2017 9:00;32;10;22
17.6.2017 10:00;79;27;52
17.6.2017 11:00;55;33;22
17.6.2017 12:00;44;27;17
17.6.2017 13:00;40;27;13
17.6.2017 14:00;64;49;15
17.6.2017 15:00;54;44;10
17.6.2017 16:00;44;35;9
17.6.2017 17:00;46;32;14
17.6.2017 18:00;44;31;13
17.6.2017 19:00;17;11;6
17.6.2017 20:00;4;3;1
17.6.2017 21:00;0;0;0
17.6.2017 22:00;1;1;0
17.6.2017 23:00;0;0;0
18.6.2017 0:00;0;0;0
18.6.2017 1:00;0;0;0
18.6.2017 2:00;0;0;0
18.6.2017 3:00;0;0;0
18.6.2017 4:00;0;0;0
18.6.2017 5:00;0;0;0
18.6.2017 6:00;2;1;1
18.6.2017 7:00;14;2;12
18.6.2017 8:00;20;5;15
18.6.2017 9:00;73;22;51
18.6.2017 10:00;98;50;48
18.6.2017 11:00;96;36;60
18.6.2017 12:00;109;67;42
18.6.2017 13:00;122;43;79
18.6.2017 14:00;115;57;58
18.6.2017 15:00;151;92;59
18.6.2017 16:00;177;99;78
18.6.2017 17:00;150;90;60
18.6.2017 18:00;102;64;38
18.6.2017 19:00;68;43;25
18.6.2017 20:00;38;31;7
18.6.2017 21:00;4;3;1
18.6.2017 22:00;0;0;0
18.6.2017 23:00;1;1;0
19.6.2017 0:00;0;0;0
19.6.2017 1:00;0;0;0
19.6.2017 2:00;0;0;0
19.6.2017 3:00;0;0;0
19.6.2017 4:00;4;0;4
19.6.2017 5:00;1;0;1
19.6.2017 6:00;7;4;3
19.6.2017 7:00;14;7;7
19.6.2017 8:00;12;10;2
19.6.2017 9:00;33;11;22
19.6.2017 10:00;92;17;75
19.6.2017 11:00;52;26;26
19.6.2017 12:00;35;25;10
19.6.2017 13:00;71;52;19
19.6.2017 14:00;104;71;33
19.6.2017 15:00;73;54;19
19.6.2017 16:00;65;41;24
19.6.2017 17:00;104;41;63
19.6.2017 18:00;123;57;66
19.6.2017 19:00;103;70;33
19.6.2017 20:00;66;54;12
19.6.2017 21:00;13;8;5
19.6.2017 22:00;0;0;0
19.6.2017 23:00;0;0;0
20.6.2017 0:00;0;0;0
20.6.2017 1:00;0;0;0
20.6.2017 2:00;0;0;0
20.6.2017 3:00;1;1;0
20.6.2017 4:00;1;1;0
20.6.2017 5:00;2;0;2
20.6.2017 6:00;15;4;11
20.6.2017 7:00;23;14;9
20.6.2017 8:00;22;16;6
20.6.2017 9:00;34;12;22
20.6.2017 10:00;78;49;29
20.6.2017 11:00;40;27;13
20.6.2017 12:00;41;28;13
20.6.2017 13:00;26;16;10
20.6.2017 14:00;71;58;13
20.6.2017 15:00;91;64;27
20.6.2017 16:00;55;16;39
20.6.2017 17:00;80;30;50
20.6.2017 18:00;106;52;54
20.6.2017 19:00;135;96;39
20.6.2017 20:00;68;54;14
20.6.2017 21:00;12;10;2
20.6.2017 22:00;5;4;1
20.6.2017 23:00;0;0;0
21.6.2017 0:00;0;0;0
21.6.2017 1:00;0;0;0
21.6.2017 2:00;0;0;0
21.6.2017 3:00;0;0;0
21.6.2017 4:00;1;0;1
