Dátum a èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.7.2019 0:00;4;4;0
1.7.2019 1:00;0;0;0
1.7.2019 2:00;0;0;0
1.7.2019 3:00;0;0;0
1.7.2019 4:00;0;0;0
1.7.2019 5:00;7;1;6
1.7.2019 6:00;16;9;7
1.7.2019 7:00;24;13;11
1.7.2019 8:00;23;15;8
1.7.2019 9:00;23;15;8
1.7.2019 10:00;42;17;25
1.7.2019 11:00;16;10;6
1.7.2019 12:00;36;27;9
1.7.2019 13:00;53;41;12
1.7.2019 14:00;79;65;14
1.7.2019 15:00;26;13;13
1.7.2019 16:00;36;23;13
1.7.2019 17:00;71;39;32
1.7.2019 18:00;60;37;23
1.7.2019 19:00;23;19;4
1.7.2019 20:00;6;6;0
1.7.2019 21:00;3;3;0
1.7.2019 22:00;3;1;2
1.7.2019 23:00;3;2;1
2.7.2019 0:00;0;0;0
2.7.2019 1:00;0;0;0
2.7.2019 2:00;0;0;0
2.7.2019 3:00;0;0;0
2.7.2019 4:00;0;0;0
2.7.2019 5:00;7;3;4
2.7.2019 6:00;22;10;12
2.7.2019 7:00;29;21;8
2.7.2019 8:00;35;26;9
2.7.2019 9:00;33;16;17
2.7.2019 10:00;49;36;13
2.7.2019 11:00;37;24;13
2.7.2019 12:00;72;66;6
2.7.2019 13:00;60;46;14
2.7.2019 14:00;42;26;16
2.7.2019 15:00;56;33;23
2.7.2019 16:00;58;29;29
2.7.2019 17:00;97;37;60
2.7.2019 18:00;132;55;77
2.7.2019 19:00;134;91;43
2.7.2019 20:00;84;58;26
2.7.2019 21:00;14;9;5
2.7.2019 22:00;2;1;1
2.7.2019 23:00;0;0;0
3.7.2019 0:00;0;0;0
3.7.2019 1:00;0;0;0
3.7.2019 2:00;0;0;0
3.7.2019 3:00;0;0;0
3.7.2019 4:00;0;0;0
3.7.2019 5:00;5;0;5
3.7.2019 6:00;15;8;7
3.7.2019 7:00;18;9;9
3.7.2019 8:00;30;17;13
3.7.2019 9:00;25;13;12
3.7.2019 10:00;27;15;12
3.7.2019 11:00;51;36;15
3.7.2019 12:00;23;12;11
3.7.2019 13:00;42;14;28
3.7.2019 14:00;30;22;8
3.7.2019 15:00;67;27;40
3.7.2019 16:00;78;31;47
3.7.2019 17:00;109;47;62
3.7.2019 18:00;113;46;67
3.7.2019 19:00;133;83;50
3.7.2019 20:00;49;37;12
3.7.2019 21:00;15;12;3
3.7.2019 22:00;3;2;1
3.7.2019 23:00;0;0;0
4.7.2019 0:00;0;0;0
4.7.2019 1:00;0;0;0
4.7.2019 2:00;1;0;1
4.7.2019 3:00;0;0;0
4.7.2019 4:00;0;0;0
4.7.2019 5:00;1;0;1
4.7.2019 6:00;16;6;10
4.7.2019 7:00;9;6;3
4.7.2019 8:00;30;20;10
4.7.2019 9:00;40;15;25
4.7.2019 10:00;44;16;28
4.7.2019 11:00;41;25;16
4.7.2019 12:00;43;26;17
4.7.2019 13:00;45;19;26
4.7.2019 14:00;57;40;17
4.7.2019 15:00;69;35;34
4.7.2019 16:00;83;38;45
4.7.2019 17:00;81;33;48
4.7.2019 18:00;81;43;38
4.7.2019 19:00;88;67;21
4.7.2019 20:00;31;18;13
4.7.2019 21:00;5;4;1
4.7.2019 22:00;2;0;2
4.7.2019 23:00;1;0;1
5.7.2019 0:00;0;0;0
5.7.2019 1:00;0;0;0
5.7.2019 2:00;0;0;0
5.7.2019 3:00;1;0;1
5.7.2019 4:00;0;0;0
5.7.2019 5:00;3;2;1
5.7.2019 6:00;15;3;12
5.7.2019 7:00;42;7;35
5.7.2019 8:00;48;17;31
5.7.2019 9:00;75;17;58
5.7.2019 10:00;147;41;106
5.7.2019 11:00;172;52;120
5.7.2019 12:00;112;77;35
5.7.2019 13:00;82;49;33
5.7.2019 14:00;111;74;37
5.7.2019 15:00;140;89;51
5.7.2019 16:00;106;70;36
5.7.2019 17:00;108;57;51
5.7.2019 18:00;96;68;28
5.7.2019 19:00;90;75;15
5.7.2019 20:00;34;24;10
5.7.2019 21:00;8;8;0
5.7.2019 22:00;3;3;0
5.7.2019 23:00;0;0;0
6.7.2019 0:00;0;0;0
6.7.2019 1:00;1;0;1
6.7.2019 2:00;1;1;0
6.7.2019 3:00;0;0;0
6.7.2019 4:00;1;1;0
6.7.2019 5:00;1;0;1
6.7.2019 6:00;12;8;4
6.7.2019 7:00;27;10;17
6.7.2019 8:00;40;19;21
6.7.2019 9:00;80;18;62
6.7.2019 10:00;139;56;83
6.7.2019 11:00;70;35;35
6.7.2019 12:00;67;46;21
6.7.2019 13:00;84;43;41
6.7.2019 14:00;102;48;54
6.7.2019 15:00;84;51;33
6.7.2019 16:00;67;48;19
6.7.2019 17:00;93;65;28
6.7.2019 18:00;65;40;25
6.7.2019 19:00;54;47;7
6.7.2019 20:00;27;22;5
6.7.2019 21:00;4;4;0
6.7.2019 22:00;2;1;1
6.7.2019 23:00;0;0;0
7.7.2019 0:00;0;0;0
7.7.2019 1:00;0;0;0
7.7.2019 2:00;0;0;0
7.7.2019 3:00;1;0;1
7.7.2019 4:00;0;0;0
7.7.2019 5:00;1;1;0
7.7.2019 6:00;9;5;4
7.7.2019 7:00;17;1;16
7.7.2019 8:00;22;12;10
7.7.2019 9:00;66;32;34
7.7.2019 10:00;93;36;57
7.7.2019 11:00;87;47;40
7.7.2019 12:00;107;74;33
7.7.2019 13:00;83;55;28
7.7.2019 14:00;78;69;9
