Dátum a èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.7.2017 0:00;1;0;1
1.7.2017 1:00;0;0;0
1.7.2017 2:00;0;0;0
1.7.2017 3:00;0;0;0
1.7.2017 4:00;0;0;0
1.7.2017 5:00;0;0;0
1.7.2017 6:00;5;0;5
1.7.2017 7:00;3;1;2
1.7.2017 8:00;17;8;9
1.7.2017 9:00;5;5;0
1.7.2017 10:00;23;8;15
1.7.2017 11:00;34;11;23
1.7.2017 12:00;54;12;42
1.7.2017 13:00;84;24;60
1.7.2017 14:00;83;40;43
1.7.2017 15:00;145;75;70
1.7.2017 16:00;174;96;78
1.7.2017 17:00;162;123;39
1.7.2017 18:00;108;77;31
1.7.2017 19:00;63;43;20
1.7.2017 20:00;39;28;11
1.7.2017 21:00;18;17;1
1.7.2017 22:00;2;1;1
1.7.2017 23:00;0;0;0
2.7.2017 0:00;0;0;0
2.7.2017 1:00;0;0;0
2.7.2017 2:00;0;0;0
2.7.2017 3:00;0;0;0
2.7.2017 4:00;0;0;0
2.7.2017 5:00;1;0;1
2.7.2017 6:00;3;0;3
2.7.2017 7:00;15;5;10
2.7.2017 8:00;22;12;10
2.7.2017 9:00;60;20;40
2.7.2017 10:00;63;38;25
2.7.2017 11:00;42;22;20
2.7.2017 12:00;20;16;4
2.7.2017 13:00;29;24;5
2.7.2017 14:00;32;21;11
2.7.2017 15:00;71;45;26
2.7.2017 16:00;65;40;25
2.7.2017 17:00;63;34;29
2.7.2017 18:00;73;39;34
2.7.2017 19:00;66;39;27
2.7.2017 20:00;39;29;10
2.7.2017 21:00;10;4;6
2.7.2017 22:00;2;2;0
2.7.2017 23:00;0;0;0
3.7.2017 0:00;0;0;0
3.7.2017 1:00;0;0;0
3.7.2017 2:00;0;0;0
3.7.2017 3:00;0;0;0
3.7.2017 4:00;0;0;0
3.7.2017 5:00;3;2;1
3.7.2017 6:00;2;2;0
3.7.2017 7:00;11;4;7
3.7.2017 8:00;10;5;5
3.7.2017 9:00;11;4;7
3.7.2017 10:00;15;8;7
3.7.2017 11:00;35;23;12
3.7.2017 12:00;37;21;16
3.7.2017 13:00;78;63;15
3.7.2017 14:00;63;53;10
3.7.2017 15:00;61;39;22
3.7.2017 16:00;51;33;18
3.7.2017 17:00;69;40;29
3.7.2017 18:00;83;42;41
3.7.2017 19:00;87;52;35
3.7.2017 20:00;53;34;19
3.7.2017 21:00;17;16;1
3.7.2017 22:00;0;0;0
3.7.2017 23:00;3;3;0
4.7.2017 0:00;0;0;0
4.7.2017 1:00;0;0;0
4.7.2017 2:00;0;0;0
4.7.2017 3:00;0;0;0
4.7.2017 4:00;0;0;0
4.7.2017 5:00;1;0;1
4.7.2017 6:00;12;6;6
4.7.2017 7:00;24;15;9
4.7.2017 8:00;31;16;15
4.7.2017 9:00;24;11;13
4.7.2017 10:00;47;28;19
4.7.2017 11:00;49;37;12
4.7.2017 12:00;49;32;17
4.7.2017 13:00;100;88;12
4.7.2017 14:00;63;46;17
4.7.2017 15:00;71;27;44
4.7.2017 16:00;54;42;12
4.7.2017 17:00;83;30;53
4.7.2017 18:00;103;56;47
4.7.2017 19:00;85;55;30
4.7.2017 20:00;48;33;15
4.7.2017 21:00;7;7;0
4.7.2017 22:00;1;1;0
4.7.2017 23:00;0;0;0
5.7.2017 0:00;1;0;1
5.7.2017 1:00;0;0;0
5.7.2017 2:00;0;0;0
5.7.2017 3:00;0;0;0
5.7.2017 4:00;0;0;0
5.7.2017 5:00;1;1;0
5.7.2017 6:00;9;1;8
5.7.2017 7:00;11;2;9
5.7.2017 8:00;48;12;36
5.7.2017 9:00;112;17;95
5.7.2017 10:00;209;46;163
5.7.2017 11:00;192;47;145
5.7.2017 12:00;185;88;97
5.7.2017 13:00;179;84;95
5.7.2017 14:00;155;70;85
5.7.2017 15:00;212;131;81
5.7.2017 16:00;194;124;70
5.7.2017 17:00;159;115;44
5.7.2017 18:00;159;99;60
5.7.2017 19:00;143;109;34
5.7.2017 20:00;68;59;9
5.7.2017 21:00;10;10;0
5.7.2017 22:00;2;2;0
5.7.2017 23:00;1;0;1
6.7.2017 0:00;1;1;0
6.7.2017 1:00;0;0;0
6.7.2017 2:00;0;0;0
6.7.2017 3:00;0;0;0
6.7.2017 4:00;0;0;0
6.7.2017 5:00;3;2;1
6.7.2017 6:00;6;1;5
6.7.2017 7:00;6;1;5
6.7.2017 8:00;23;13;10
6.7.2017 9:00;43;22;21
6.7.2017 10:00;34;18;16
6.7.2017 11:00;67;24;43
6.7.2017 12:00;68;54;14
6.7.2017 13:00;25;15;10
6.7.2017 14:00;33;19;14
6.7.2017 15:00;43;25;18
6.7.2017 16:00;44;21;23
6.7.2017 17:00;85;37;48
6.7.2017 18:00;89;48;41
6.7.2017 19:00;93;62;31
6.7.2017 20:00;42;32;10
6.7.2017 21:00;17;11;6
6.7.2017 22:00;6;1;5
6.7.2017 23:00;0;0;0
7.7.2017 0:00;0;0;0
7.7.2017 1:00;0;0;0
7.7.2017 2:00;0;0;0
7.7.2017 3:00;0;0;0
7.7.2017 4:00;0;0;0
7.7.2017 5:00;2;0;2
7.7.2017 6:00;8;1;7
7.7.2017 7:00;14;9;5
7.7.2017 8:00;35;14;21
7.7.2017 9:00;41;10;31
7.7.2017 10:00;26;13;13
7.7.2017 11:00;38;22;16
7.7.2017 12:00;37;23;14
7.7.2017 13:00;35;24;11
7.7.2017 14:00;44;36;8
7.7.2017 15:00;50;39;11
7.7.2017 16:00;56;32;24
7.7.2017 17:00;62;24;38
7.7.2017 18:00;76;38;38
7.7.2017 19:00;54;34;20
7.7.2017 20:00;30;28;2
7.7.2017 21:00;15;11;4
7.7.2017 22:00;4;4;0
7.7.2017 23:00;1;1;0
8.7.2017 0:00;0;0;0
8.7.2017 1:00;0;0;0
8.7.2017 2:00;0;0;0
8.7.2017 3:00;1;1;0
8.7.2017 4:00;0;0;0
8.7.2017 5:00;1;0;1
8.7.2017 6:00;10;2;8
8.7.2017 7:00;24;7;17
8.7.2017 8:00;32;8;24
8.7.2017 9:00;99;33;66
8.7.2017 10:00;98;24;74
8.7.2017 11:00;90;43;47
8.7.2017 12:00;86;44;42
8.7.2017 13:00;60;48;12
8.7.2017 14:00;79;61;18
8.7.2017 15:00;73;59;14
8.7.2017 16:00;83;57;26
8.7.2017 17:00;96;56;40
8.7.2017 18:00;79;43;36
8.7.2017 19:00;77;54;23
8.7.2017 20:00;33;27;6
8.7.2017 21:00;15;13;2
8.7.2017 22:00;1;1;0
8.7.2017 23:00;3;0;3
9.7.2017 0:00;0;0;0
9.7.2017 1:00;0;0;0
9.7.2017 2:00;1;0;1
9.7.2017 3:00;0;0;0
9.7.2017 4:00;0;0;0
9.7.2017 5:00;0;0;0
9.7.2017 6:00;9;2;7
9.7.2017 7:00;22;5;17
9.7.2017 8:00;49;12;37
9.7.2017 9:00;114;29;85
9.7.2017 10:00;113;60;53
9.7.2017 11:00;104;51;53
9.7.2017 12:00;114;67;47
9.7.2017 13:00;84;49;35
9.7.2017 14:00;101;65;36
9.7.2017 15:00;102;78;24
9.7.2017 16:00;73;71;2
9.7.2017 17:00;19;16;3
9.7.2017 18:00;47;29;18
9.7.2017 19:00;48;24;24
9.7.2017 20:00;27;18;9
9.7.2017 21:00;2;1;1
9.7.2017 22:00;0;0;0
9.7.2017 23:00;0;0;0
10.7.2017 0:00;0;0;0
10.7.2017 1:00;0;0;0
10.7.2017 2:00;0;0;0
10.7.2017 3:00;0;0;0
10.7.2017 4:00;0;0;0
10.7.2017 5:00;2;2;0
10.7.2017 6:00;2;0;2
10.7.2017 7:00;5;2;3
10.7.2017 8:00;14;4;10
10.7.2017 9:00;18;8;10
10.7.2017 10:00;90;9;81
10.7.2017 11:00;31;22;9
10.7.2017 12:00;38;28;10
10.7.2017 13:00;51;38;13
10.7.2017 14:00;42;35;7
10.7.2017 15:00;39;24;15
10.7.2017 16:00;75;46;29
10.7.2017 17:00;28;22;6
10.7.2017 18:00;30;13;17
10.7.2017 19:00;56;35;21
10.7.2017 20:00;9;7;2
10.7.2017 21:00;3;1;2
10.7.2017 22:00;0;0;0
10.7.2017 23:00;3;2;1
11.7.2017 0:00;0;0;0
11.7.2017 1:00;0;0;0
11.7.2017 2:00;0;0;0
11.7.2017 3:00;0;0;0
11.7.2017 4:00;0;0;0
11.7.2017 5:00;1;1;0
11.7.2017 6:00;0;0;0
11.7.2017 7:00;1;1;0
11.7.2017 8:00;6;3;3
11.7.2017 9:00;9;7;2
11.7.2017 10:00;54;35;19
11.7.2017 11:00;24;11;13
11.7.2017 12:00;36;21;15
11.7.2017 13:00;32;22;10
11.7.2017 14:00;44;25;19
11.7.2017 15:00;48;22;26
11.7.2017 16:00;51;22;29
11.7.2017 17:00;129;46;83
11.7.2017 18:00;134;69;65
11.7.2017 19:00;147;106;41
11.7.2017 20:00;74;64;10
11.7.2017 21:00;8;5;3
11.7.2017 22:00;0;0;0
11.7.2017 23:00;0;0;0
12.7.2017 0:00;0;0;0
12.7.2017 1:00;0;0;0
12.7.2017 2:00;0;0;0
12.7.2017 3:00;0;0;0
12.7.2017 4:00;0;0;0
12.7.2017 5:00;3;2;1
12.7.2017 6:00;12;4;8
12.7.2017 7:00;23;8;15
12.7.2017 8:00;32;18;14
12.7.2017 9:00;36;20;16
12.7.2017 10:00;51;24;27
12.7.2017 11:00;47;26;21
12.7.2017 12:00;26;15;11
12.7.2017 13:00;35;17;18
12.7.2017 14:00;67;47;20
12.7.2017 15:00;78;45;33
12.7.2017 16:00;74;47;27
12.7.2017 17:00;75;35;40
12.7.2017 18:00;70;35;35
12.7.2017 19:00;86;56;30
12.7.2017 20:00;30;24;6
12.7.2017 21:00;10;10;0
12.7.2017 22:00;4;4;0
12.7.2017 23:00;0;0;0
13.7.2017 0:00;0;0;0
13.7.2017 1:00;3;3;0
13.7.2017 2:00;0;0;0
13.7.2017 3:00;0;0;0
13.7.2017 4:00;0;0;0
13.7.2017 5:00;2;2;0
13.7.2017 6:00;4;1;3
13.7.2017 7:00;11;3;8
13.7.2017 8:00;10;8;2
13.7.2017 9:00;24;10;14
13.7.2017 10:00;30;11;19
13.7.2017 11:00;23;15;8
13.7.2017 12:00;34;19;15
