Dátum;Èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.2.2016;0:00;0;0;0
1.2.2016;1:00;0;0;0
1.2.2016;2:00;0;0;0
1.2.2016;3:00;0;0;0
1.2.2016;4:00;0;0;0
1.2.2016;5:00;0;0;0
1.2.2016;6:00;0;0;0
1.2.2016;7:00;0;0;0
1.2.2016;8:00;0;0;0
1.2.2016;9:00;0;0;0
1.2.2016;10:00;0;0;0
1.2.2016;11:00;1;1;0
1.2.2016;12:00;0;0;0
1.2.2016;13:00;1;1;0
1.2.2016;14:00;3;0;3
1.2.2016;15:00;2;2;0
1.2.2016;16:00;0;0;0
1.2.2016;17:00;0;0;0
1.2.2016;18:00;1;0;1
1.2.2016;19:00;0;0;0
1.2.2016;20:00;2;1;1
1.2.2016;21:00;4;2;2
1.2.2016;22:00;0;0;0
1.2.2016;23:00;0;0;0
2.2.2016;0:00;0;0;0
2.2.2016;1:00;0;0;0
2.2.2016;2:00;0;0;0
2.2.2016;3:00;0;0;0
2.2.2016;4:00;0;0;0
2.2.2016;5:00;0;0;0
2.2.2016;6:00;3;2;1
2.2.2016;7:00;0;0;0
2.2.2016;8:00;1;0;1
2.2.2016;9:00;1;0;1
2.2.2016;10:00;5;3;2
2.2.2016;11:00;8;5;3
2.2.2016;12:00;6;3;3
2.2.2016;13:00;14;7;7
2.2.2016;14:00;11;4;7
2.2.2016;15:00;15;8;7
2.2.2016;16:00;11;6;5
2.2.2016;17:00;9;4;5
2.2.2016;18:00;9;5;4
2.2.2016;19:00;4;4;0
2.2.2016;20:00;2;1;1
2.2.2016;21:00;0;0;0
2.2.2016;22:00;0;0;0
2.2.2016;23:00;0;0;0
3.2.2016;0:00;0;0;0
3.2.2016;1:00;0;0;0
3.2.2016;2:00;0;0;0
3.2.2016;3:00;0;0;0
3.2.2016;4:00;0;0;0
3.2.2016;5:00;0;0;0
3.2.2016;6:00;2;1;1
3.2.2016;7:00;2;1;1
3.2.2016;8:00;4;1;3
3.2.2016;9:00;5;1;4
3.2.2016;10:00;3;0;3
3.2.2016;11:00;2;2;0
3.2.2016;12:00;2;0;2
3.2.2016;13:00;4;4;0
3.2.2016;14:00;1;0;1
3.2.2016;15:00;0;0;0
3.2.2016;16:00;1;0;1
3.2.2016;17:00;1;1;0
3.2.2016;18:00;0;0;0
3.2.2016;19:00;0;0;0
3.2.2016;20:00;1;1;0
3.2.2016;21:00;0;0;0
3.2.2016;22:00;0;0;0
3.2.2016;23:00;0;0;0
4.2.2016;0:00;0;0;0
4.2.2016;1:00;0;0;0
4.2.2016;2:00;0;0;0
4.2.2016;3:00;0;0;0
4.2.2016;4:00;0;0;0
4.2.2016;5:00;0;0;0
4.2.2016;6:00;1;1;0
4.2.2016;7:00;2;1;1
4.2.2016;8:00;1;1;0
4.2.2016;9:00;1;0;1
4.2.2016;10:00;6;3;3
4.2.2016;11:00;5;2;3
4.2.2016;12:00;4;2;2
4.2.2016;13:00;15;5;10
4.2.2016;14:00;9;6;3
4.2.2016;15:00;5;3;2
4.2.2016;16:00;7;3;4
4.2.2016;17:00;5;4;1
4.2.2016;18:00;1;1;0
4.2.2016;19:00;0;0;0
4.2.2016;20:00;0;0;0
4.2.2016;21:00;0;0;0
4.2.2016;22:00;1;1;0
4.2.2016;23:00;0;0;0
5.2.2016;0:00;0;0;0
5.2.2016;1:00;0;0;0
5.2.2016;2:00;0;0;0
5.2.2016;3:00;0;0;0
5.2.2016;4:00;0;0;0
5.2.2016;5:00;0;0;0
5.2.2016;6:00;0;0;0
5.2.2016;7:00;0;0;0
5.2.2016;8:00;0;0;0
5.2.2016;9:00;0;0;0
5.2.2016;10:00;6;2;4
5.2.2016;11:00;2;0;2
5.2.2016;12:00;1;1;0
5.2.2016;13:00;7;5;2
5.2.2016;14:00;11;7;4
5.2.2016;15:00;13;7;6
5.2.2016;16:00;10;3;7
5.2.2016;17:00;15;12;3
5.2.2016;18:00;1;0;1
5.2.2016;19:00;1;1;0
5.2.2016;20:00;0;0;0
5.2.2016;21:00;1;1;0
5.2.2016;22:00;0;0;0
5.2.2016;23:00;2;2;0
6.2.2016;0:00;0;0;0
6.2.2016;1:00;0;0;0
6.2.2016;2:00;0;0;0
6.2.2016;3:00;0;0;0
6.2.2016;4:00;0;0;0
6.2.2016;5:00;0;0;0
6.2.2016;6:00;0;0;0
6.2.2016;7:00;2;0;2
6.2.2016;8:00;1;1;0
6.2.2016;9:00;5;2;3
6.2.2016;10:00;18;4;14
6.2.2016;11:00;18;3;15
6.2.2016;12:00;35;11;24
6.2.2016;13:00;45;19;26
6.2.2016;14:00;48;24;24
6.2.2016;15:00;21;9;12
6.2.2016;16:00;20;16;4
6.2.2016;17:00;18;16;2
6.2.2016;18:00;0;0;0
6.2.2016;19:00;0;0;0
6.2.2016;20:00;0;0;0
6.2.2016;21:00;0;0;0
6.2.2016;22:00;0;0;0
6.2.2016;23:00;0;0;0
7.2.2016;0:00;0;0;0
7.2.2016;1:00;0;0;0
7.2.2016;2:00;0;0;0
7.2.2016;3:00;0;0;0
7.2.2016;4:00;0;0;0
7.2.2016;5:00;0;0;0
7.2.2016;6:00;0;0;0
7.2.2016;7:00;1;0;1
7.2.2016;8:00;0;0;0
7.2.2016;9:00;1;0;1
7.2.2016;10:00;20;0;20
7.2.2016;11:00;30;14;16
7.2.2016;12:00;42;19;23
7.2.2016;13:00;61;31;30
7.2.2016;14:00;48;26;22
7.2.2016;15:00;47;24;23
7.2.2016;16:00;22;17;5
7.2.2016;17:00;5;4;1
7.2.2016;18:00;6;5;1
7.2.2016;19:00;0;0;0
7.2.2016;20:00;0;0;0
7.2.2016;21:00;0;0;0
7.2.2016;22:00;0;0;0
7.2.2016;23:00;0;0;0
8.2.2016;0:00;0;0;0
8.2.2016;1:00;1;0;1
8.2.2016;2:00;0;0;0
8.2.2016;3:00;1;1;0
8.2.2016;4:00;0;0;0
8.2.2016;5:00;0;0;0
8.2.2016;6:00;1;1;0
8.2.2016;7:00;0;0;0
8.2.2016;8:00;1;1;0
8.2.2016;9:00;2;1;1
8.2.2016;10:00;5;2;3
8.2.2016;11:00;1;1;0
8.2.2016;12:00;1;0;1
8.2.2016;13:00;2;1;1
8.2.2016;14:00;3;0;3
8.2.2016;15:00;12;4;8
8.2.2016;16:00;8;5;3
8.2.2016;17:00;0;0;0
8.2.2016;18:00;2;1;1
8.2.2016;19:00;2;0;2
8.2.2016;20:00;0;0;0
8.2.2016;21:00;1;1;0
8.2.2016;22:00;0;0;0
8.2.2016;23:00;4;2;2
9.2.2016;0:00;0;0;0
9.2.2016;1:00;0;0;0
9.2.2016;2:00;0;0;0
9.2.2016;3:00;0;0;0
9.2.2016;4:00;0;0;0
9.2.2016;5:00;0;0;0
9.2.2016;6:00;0;0;0
9.2.2016;7:00;2;1;1
9.2.2016;8:00;0;0;0
9.2.2016;9:00;3;2;1
9.2.2016;10:00;3;2;1
9.2.2016;11:00;3;2;1
9.2.2016;12:00;4;2;2
9.2.2016;13:00;11;6;5
9.2.2016;14:00;4;0;4
9.2.2016;15:00;8;1;7
9.2.2016;16:00;7;4;3
9.2.2016;17:00;5;2;3
9.2.2016;18:00;2;2;0
9.2.2016;19:00;3;3;0
9.2.2016;20:00;0;0;0
9.2.2016;21:00;2;1;1
9.2.2016;22:00;0;0;0
9.2.2016;23:00;0;0;0
10.2.2016;0:00;0;0;0
10.2.2016;1:00;0;0;0
10.2.2016;2:00;0;0;0
10.2.2016;3:00;0;0;0
10.2.2016;4:00;0;0;0
10.2.2016;5:00;0;0;0
10.2.2016;6:00;0;0;0
10.2.2016;7:00;0;0;0
10.2.2016;8:00;2;0;2
10.2.2016;9:00;0;0;0
10.2.2016;10:00;0;0;0
10.2.2016;11:00;0;0;0
10.2.2016;12:00;0;0;0
10.2.2016;13:00;0;0;0
10.2.2016;14:00;0;0;0
10.2.2016;15:00;0;0;0
10.2.2016;16:00;0;0;0
10.2.2016;17:00;1;0;1
10.2.2016;18:00;0;0;0
10.2.2016;19:00;0;0;0
10.2.2016;20:00;0;0;0
10.2.2016;21:00;0;0;0
10.2.2016;22:00;0;0;0
10.2.2016;23:00;0;0;0
11.2.2016;0:00;0;0;0
11.2.2016;1:00;0;0;0
11.2.2016;2:00;0;0;0
11.2.2016;3:00;0;0;0
11.2.2016;4:00;0;0;0
11.2.2016;5:00;0;0;0
11.2.2016;6:00;2;2;0
11.2.2016;7:00;0;0;0
11.2.2016;8:00;0;0;0
11.2.2016;9:00;0;0;0
11.2.2016;10:00;2;1;1
11.2.2016;11:00;2;1;1
11.2.2016;12:00;6;1;5
11.2.2016;13:00;10;6;4
11.2.2016;14:00;2;1;1
11.2.2016;15:00;15;6;9
11.2.2016;16:00;6;3;3
11.2.2016;17:00;5;5;0
11.2.2016;18:00;8;6;2
11.2.2016;19:00;1;0;1
11.2.2016;20:00;0;0;0
11.2.2016;21:00;0;0;0
11.2.2016;22:00;0;0;0
11.2.2016;23:00;0;0;0
12.2.2016;0:00;0;0;0
12.2.2016;1:00;0;0;0
12.2.2016;2:00;0;0;0
12.2.2016;3:00;0;0;0
12.2.2016;4:00;0;0;0
12.2.2016;5:00;1;1;0
12.2.2016;6:00;2;1;1
12.2.2016;7:00;1;1;0
12.2.2016;8:00;1;0;1
12.2.2016;9:00;1;0;1
12.2.2016;10:00;3;0;3
12.2.2016;11:00;7;5;2
12.2.2016;12:00;5;0;5
12.2.2016;13:00;12;6;6
12.2.2016;14:00;10;5;5
12.2.2016;15:00;9;2;7
12.2.2016;16:00;6;5;1
12.2.2016;17:00;7;4;3
12.2.2016;18:00;5;3;2
12.2.2016;19:00;0;0;0
12.2.2016;20:00;1;0;1
12.2.2016;21:00;0;0;0
12.2.2016;22:00;0;0;0
12.2.2016;23:00;0;0;0
13.2.2016;0:00;0;0;0
13.2.2016;1:00;0;0;0
13.2.2016;2:00;0;0;0
13.2.2016;3:00;0;0;0
13.2.2016;4:00;0;0;0
13.2.2016;5:00;1;1;0
13.2.2016;6:00;0;0;0
13.2.2016;7:00;0;0;0
13.2.2016;8:00;0;0;0
13.2.2016;9:00;1;0;1
13.2.2016;10:00;2;0;2
13.2.2016;11:00;13;1;12
13.2.2016;12:00;8;3;5
13.2.2016;13:00;19;11;8
13.2.2016;14:00;14;5;9
13.2.2016;15:00;16;5;11
13.2.2016;16:00;23;16;7
13.2.2016;17:00;16;11;5
13.2.2016;18:00;1;1;0
13.2.2016;19:00;7;5;2
13.2.2016;20:00;0;0;0
13.2.2016;21:00;0;0;0
13.2.2016;22:00;0;0;0
13.2.2016;23:00;0;0;0
14.2.2016;0:00;0;0;0
14.2.2016;1:00;0;0;0
14.2.2016;2:00;0;0;0
14.2.2016;3:00;0;0;0
14.2.2016;4:00;0;0;0
14.2.2016;5:00;0;0;0
14.2.2016;6:00;0;0;0
14.2.2016;7:00;1;1;0
14.2.2016;8:00;0;0;0
14.2.2016;9:00;4;1;3
14.2.2016;10:00;21;5;16
14.2.2016;11:00;29;12;17
14.2.2016;12:00;23;7;16
14.2.2016;13:00;11;10;1
14.2.2016;14:00;18;11;7
14.2.2016;15:00;12;9;3
14.2.2016;16:00;6;1;5
14.2.2016;17:00;3;2;1
14.2.2016;18:00;2;2;0
14.2.2016;19:00;0;0;0
14.2.2016;20:00;0;0;0
14.2.2016;21:00;0;0;0
14.2.2016;22:00;0;0;0
14.2.2016;23:00;0;0;0
15.2.2016;0:00;0;0;0
15.2.2016;1:00;0;0;0
15.2.2016;2:00;0;0;0
15.2.2016;3:00;0;0;0
15.2.2016;4:00;0;0;0
15.2.2016;5:00;0;0;0
15.2.2016;6:00;0;0;0
15.2.2016;7:00;0;0;0
