Dátum;Èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.7.2016;0:00;1;1;0
1.7.2016;1:00;0;0;0
1.7.2016;2:00;0;0;0
1.7.2016;3:00;0;0;0
1.7.2016;4:00;0;0;0
1.7.2016;5:00;3;2;1
1.7.2016;6:00;7;3;4
1.7.2016;7:00;12;6;6
1.7.2016;8:00;16;12;4
1.7.2016;9:00;20;8;12
1.7.2016;10:00;32;13;19
1.7.2016;11:00;36;19;17
1.7.2016;12:00;24;18;6
1.7.2016;13:00;27;9;18
1.7.2016;14:00;40;25;15
1.7.2016;15:00;52;27;25
1.7.2016;16:00;60;30;30
1.7.2016;17:00;52;27;25
1.7.2016;18:00;63;30;33
1.7.2016;19:00;66;37;29
1.7.2016;20:00;26;24;2
1.7.2016;21:00;14;9;5
1.7.2016;22:00;4;2;2
1.7.2016;23:00;2;2;0
2.7.2016;0:00;0;0;0
2.7.2016;1:00;0;0;0
2.7.2016;2:00;0;0;0
2.7.2016;3:00;0;0;0
2.7.2016;4:00;0;0;0
2.7.2016;5:00;0;0;0
2.7.2016;6:00;8;2;6
2.7.2016;7:00;19;3;16
2.7.2016;8:00;36;8;28
2.7.2016;9:00;55;11;44
2.7.2016;10:00;102;27;75
2.7.2016;11:00;85;27;58
2.7.2016;12:00;69;39;30
2.7.2016;13:00;69;22;47
2.7.2016;14:00;79;36;43
2.7.2016;15:00;74;41;33
2.7.2016;16:00;145;117;28
2.7.2016;17:00;98;71;27
2.7.2016;18:00;61;45;16
2.7.2016;19:00;32;28;4
2.7.2016;20:00;16;16;0
2.7.2016;21:00;0;0;0
2.7.2016;22:00;0;0;0
2.7.2016;23:00;0;0;0
3.7.2016;0:00;0;0;0
3.7.2016;1:00;0;0;0
3.7.2016;2:00;0;0;0
3.7.2016;3:00;0;0;0
3.7.2016;4:00;0;0;0
3.7.2016;5:00;0;0;0
3.7.2016;6:00;0;0;0
3.7.2016;7:00;3;0;3
3.7.2016;8:00;18;7;11
3.7.2016;9:00;29;15;14
3.7.2016;10:00;39;17;22
3.7.2016;11:00;39;18;21
3.7.2016;12:00;28;11;17
3.7.2016;13:00;36;23;13
3.7.2016;14:00;49;25;24
3.7.2016;15:00;62;34;28
3.7.2016;16:00;77;52;25
3.7.2016;17:00;86;63;23
3.7.2016;18:00;92;49;43
3.7.2016;19:00;72;44;28
3.7.2016;20:00;33;18;15
3.7.2016;21:00;2;2;0
3.7.2016;22:00;2;1;1
3.7.2016;23:00;0;0;0
4.7.2016;0:00;0;0;0
4.7.2016;1:00;0;0;0
4.7.2016;2:00;0;0;0
4.7.2016;3:00;0;0;0
4.7.2016;4:00;0;0;0
4.7.2016;5:00;2;1;1
4.7.2016;6:00;7;2;5
4.7.2016;7:00;12;8;4
4.7.2016;8:00;20;7;13
4.7.2016;9:00;99;8;91
4.7.2016;10:00;70;25;45
4.7.2016;11:00;53;23;30
4.7.2016;12:00;76;39;37
4.7.2016;13:00;84;50;34
4.7.2016;14:00;92;50;42
4.7.2016;15:00;90;60;30
4.7.2016;16:00;95;56;39
4.7.2016;17:00;96;58;38
4.7.2016;18:00;103;54;49
4.7.2016;19:00;96;67;29
4.7.2016;20:00;34;33;1
4.7.2016;21:00;3;2;1
4.7.2016;22:00;5;1;4
4.7.2016;23:00;3;1;2
5.7.2016;0:00;0;0;0
5.7.2016;1:00;0;0;0
5.7.2016;2:00;0;0;0
5.7.2016;3:00;0;0;0
5.7.2016;4:00;0;0;0
5.7.2016;5:00;1;0;1
5.7.2016;6:00;5;0;5
5.7.2016;7:00;17;4;13
5.7.2016;8:00;34;8;26
5.7.2016;9:00;102;20;82
5.7.2016;10:00;162;36;126
5.7.2016;11:00;200;61;139
5.7.2016;12:00;177;77;100
5.7.2016;13:00;198;98;100
5.7.2016;14:00;231;157;74
5.7.2016;15:00;180;130;50
5.7.2016;16:00;205;147;58
5.7.2016;17:00;126;89;37
5.7.2016;18:00;112;85;27
5.7.2016;19:00;101;72;29
5.7.2016;20:00;68;54;14
5.7.2016;21:00;16;13;3
5.7.2016;22:00;4;3;1
5.7.2016;23:00;0;0;0
6.7.2016;0:00;0;0;0
6.7.2016;1:00;0;0;0
6.7.2016;2:00;0;0;0
6.7.2016;3:00;0;0;0
6.7.2016;4:00;0;0;0
6.7.2016;5:00;1;0;1
6.7.2016;6:00;9;6;3
6.7.2016;7:00;17;8;9
6.7.2016;8:00;9;6;3
6.7.2016;9:00;20;11;9
6.7.2016;10:00;27;19;8
6.7.2016;11:00;21;13;8
6.7.2016;12:00;34;21;13
6.7.2016;13:00;31;21;10
6.7.2016;14:00;42;14;28
6.7.2016;15:00;26;18;8
6.7.2016;16:00;38;12;26
6.7.2016;17:00;65;30;35
6.7.2016;18:00;72;37;35
6.7.2016;19:00;57;37;20
6.7.2016;20:00;24;17;7
6.7.2016;21:00;10;8;2
6.7.2016;22:00;3;3;0
6.7.2016;23:00;0;0;0
7.7.2016;0:00;0;0;0
7.7.2016;1:00;1;0;1
7.7.2016;2:00;0;0;0
7.7.2016;3:00;0;0;0
7.7.2016;4:00;0;0;0
7.7.2016;5:00;2;0;2
7.7.2016;6:00;9;5;4
7.7.2016;7:00;28;9;19
7.7.2016;8:00;16;11;5
7.7.2016;9:00;42;13;29
7.7.2016;10:00;34;19;15
7.7.2016;11:00;41;20;21
7.7.2016;12:00;74;60;14
7.7.2016;13:00;42;27;15
7.7.2016;14:00;34;26;8
7.7.2016;15:00;60;27;33
7.7.2016;16:00;97;53;44
7.7.2016;17:00;83;43;40
7.7.2016;18:00;116;55;61
7.7.2016;19:00;96;63;33
7.7.2016;20:00;45;36;9
7.7.2016;21:00;13;9;4
7.7.2016;22:00;2;0;2
7.7.2016;23:00;0;0;0
8.7.2016;0:00;0;0;0
8.7.2016;1:00;1;1;0
8.7.2016;2:00;0;0;0
8.7.2016;3:00;2;2;0
8.7.2016;4:00;0;0;0
8.7.2016;5:00;5;2;3
8.7.2016;6:00;10;4;6
8.7.2016;7:00;13;5;8
8.7.2016;8:00;13;7;6
8.7.2016;9:00;26;7;19
8.7.2016;10:00;45;17;28
8.7.2016;11:00;42;17;25
8.7.2016;12:00;19;7;12
